OU Size: 4x4
layer,time_s,energy_J
16,2.034802e-07,7.575552e-08
Total,,,
Latency (max),3.587274e-03,
Energy (sum),,2.842410e-04,
EDP, , ,1.019650e-06

OU Size: 8x28
layer,time_s,energy_J
1,1.441315e-04,1.607495e-06
2,3.074806e-03,3.429322e-05
3,1.537403e-03,1.714661e-05
4,2.589316e-03,3.429322e-05
5,5.772131e-04,1.714661e-05
6,5.590722e-04,3.429322e-05
7,5.365639e-04,3.429322e-05
8,1.349254e-04,1.714661e-05
9,1.365864e-04,3.429322e-05
10,1.377204e-04,3.429322e-05
11,3.385649e-05,8.573304e-06
12,3.376353e-05,8.573304e-06
13,3.416138e-05,8.573304e-06
14,1.659746e-08,1.905185e-08
15,1.903734e-07,3.110496e-07
16,1.744116e-07,7.593984e-08
Total,,,
Latency (max),3.074806e-03,
Energy (sum),,2.849326e-04,
EDP, , ,8.761124e-07

OU Size: 8x32
layer,time_s,energy_J
1,1.261151e-04,1.611396e-06
2,2.690455e-03,3.437645e-05
3,1.345228e-03,1.718823e-05
4,2.265652e-03,3.437645e-05
5,5.050615e-04,1.718823e-05
6,4.891882e-04,3.437645e-05
7,4.694934e-04,3.437645e-05
8,1.180597e-04,1.718823e-05
9,1.195131e-04,3.437645e-05
10,1.205053e-04,3.437645e-05
11,2.962443e-05,8.594113e-06
12,2.954309e-05,8.594113e-06
13,2.989121e-05,8.594113e-06
14,1.452277e-08,1.909809e-08
15,1.665767e-07,3.118046e-07
16,1.526101e-07,7.612416e-08
Total,,,
Latency (max),2.690455e-03,
Energy (sum),,2.856242e-04,
EDP, , ,7.684590e-07

OU Size: 8x36
layer,time_s,energy_J
1,1.121023e-04,1.615298e-06
2,2.391516e-03,3.445969e-05
3,1.195758e-03,1.722984e-05
4,2.013913e-03,3.445969e-05
5,4.489436e-04,1.722984e-05
6,4.348339e-04,3.445969e-05
7,4.173275e-04,3.445969e-05
8,1.049420e-04,1.722984e-05
9,1.062339e-04,3.445969e-05
10,1.071158e-04,3.445969e-05
11,2.633283e-05,8.614922e-06
12,2.626053e-05,8.614922e-06
13,2.656996e-05,8.614922e-06
14,1.290913e-08,1.914434e-08
15,1.480682e-07,3.125595e-07
16,1.356534e-07,7.630848e-08
Total,,,
Latency (max),2.391516e-03,
Energy (sum),,2.863157e-04,
EDP, , ,6.847286e-07

OU Size: 8x40
layer,time_s,energy_J
1,1.008921e-04,1.619200e-06
2,2.152364e-03,3.454292e-05
3,1.076182e-03,1.727146e-05
4,1.812521e-03,3.454292e-05
5,4.040492e-04,1.727146e-05
6,3.913505e-04,3.454292e-05
7,3.755947e-04,3.454292e-05
8,9.444776e-05,1.727146e-05
9,9.561049e-05,3.454292e-05
10,9.640425e-05,3.454292e-05
11,2.369954e-05,8.635731e-06
12,2.363447e-05,8.635731e-06
13,2.391296e-05,8.635731e-06
14,1.161822e-08,1.919058e-08
15,1.332614e-07,3.133145e-07
16,1.220881e-07,7.649280e-08
Total,,,
Latency (max),2.152364e-03,
Energy (sum),,2.870073e-04,
EDP, , ,6.177443e-07

OU Size: 8x44
layer,time_s,energy_J
1,9.172007e-05,1.623101e-06
2,1.956695e-03,3.462616e-05
3,9.783474e-04,1.731308e-05
4,1.647747e-03,3.462616e-05
5,3.673175e-04,1.731308e-05
6,3.557732e-04,3.462616e-05
7,3.414497e-04,3.462616e-05
8,8.586160e-05,1.731308e-05
9,8.691863e-05,3.462616e-05
10,8.764023e-05,3.462616e-05
11,2.154504e-05,8.656540e-06
12,2.148589e-05,8.656540e-06
13,2.173906e-05,8.656540e-06
14,1.056202e-08,1.923682e-08
15,1.211467e-07,3.140695e-07
16,1.109892e-07,7.667712e-08
Total,,,
Latency (max),1.956695e-03,
Energy (sum),,2.876989e-04,
EDP, , ,5.629390e-07

OU Size: 8x48
layer,time_s,energy_J
1,8.407673e-05,1.627003e-06
2,1.793637e-03,3.470940e-05
3,8.968185e-04,1.735470e-05
4,1.510434e-03,3.470940e-05
5,3.367077e-04,1.735470e-05
6,3.261255e-04,3.470940e-05
7,3.129956e-04,3.470940e-05
8,7.870646e-05,1.735470e-05
9,7.967541e-05,3.470940e-05
10,8.033687e-05,3.470940e-05
11,1.974962e-05,8.677349e-06
12,1.969539e-05,8.677349e-06
13,1.992747e-05,8.677349e-06
14,9.681849e-09,1.928306e-08
15,1.110512e-07,3.148245e-07
16,1.017401e-07,7.686144e-08
Total,,,
Latency (max),1.793637e-03,
Energy (sum),,2.883905e-04,
EDP, , ,5.172678e-07

OU Size: 8x52
layer,time_s,energy_J
1,7.760929e-05,1.630905e-06
2,1.655665e-03,3.479263e-05
3,8.278324e-04,1.739632e-05
4,1.394247e-03,3.479263e-05
5,3.108071e-04,1.739632e-05
6,3.010389e-04,3.479263e-05
7,2.889190e-04,3.479263e-05
8,7.265212e-05,1.739632e-05
9,7.354653e-05,3.479263e-05
10,7.415711e-05,3.479263e-05
11,1.823042e-05,8.698158e-06
12,1.818036e-05,8.698158e-06
13,1.839459e-05,8.698158e-06
14,8.937091e-09,1.932931e-08
15,1.025088e-07,3.155794e-07
16,9.391392e-08,7.704576e-08
Total,,,
Latency (max),1.655665e-03,
Energy (sum),,2.890821e-04,
EDP, , ,4.786230e-07

OU Size: 8x56
layer,time_s,energy_J
1,7.206577e-05,1.634806e-06
2,1.537403e-03,3.487587e-05
3,7.687015e-04,1.743793e-05
4,1.294658e-03,3.487587e-05
5,2.886066e-04,1.743793e-05
6,2.795361e-04,3.487587e-05
7,2.682819e-04,3.487587e-05
8,6.746268e-05,1.743793e-05
9,6.829321e-05,3.487587e-05
10,6.886018e-05,3.487587e-05
11,1.692825e-05,8.718967e-06
12,1.688177e-05,8.718967e-06
13,1.708069e-05,8.718967e-06
14,8.298728e-09,1.937555e-08
15,9.518670e-08,3.163344e-07
16,8.720578e-08,7.723008e-08
Total,,,
Latency (max),1.537403e-03,
Energy (sum),,2.897737e-04,
EDP, , ,4.454989e-07

OU Size: 8x60
layer,time_s,energy_J
1,6.726138e-05,1.638708e-06
2,1.434910e-03,3.495910e-05
3,7.174548e-04,1.747955e-05
4,1.208348e-03,3.495910e-05
5,2.693661e-04,1.747955e-05
6,2.609004e-04,3.495910e-05
7,2.503965e-04,3.495910e-05
8,6.296517e-05,1.747955e-05
9,6.374033e-05,3.495910e-05
10,6.426950e-05,3.495910e-05
11,1.579970e-05,8.739776e-06
12,1.575632e-05,8.739776e-06
13,1.594198e-05,8.739776e-06
14,7.745479e-09,1.942179e-08
15,8.884092e-08,3.170894e-07
16,8.139207e-08,7.741440e-08
Total,,,
Latency (max),1.434910e-03,
Energy (sum),,2.904652e-04,
EDP, , ,4.167913e-07

OU Size: 8x64
layer,time_s,energy_J
1,6.305755e-05,1.642610e-06
2,1.345228e-03,3.504234e-05
3,6.726138e-04,1.752117e-05
4,1.132826e-03,3.504234e-05
5,2.525307e-04,1.752117e-05
6,2.445941e-04,3.504234e-05
7,2.347467e-04,3.504234e-05
8,5.902985e-05,1.752117e-05
9,5.975656e-05,3.504234e-05
10,6.025266e-05,3.504234e-05
11,1.481221e-05,8.760585e-06
12,1.477155e-05,8.760585e-06
13,1.494560e-05,8.760585e-06
14,7.261387e-09,1.946803e-08
15,8.328837e-08,3.178444e-07
16,7.630506e-08,7.759872e-08
Total,,,
Latency (max),1.345228e-03,
Energy (sum),,2.911568e-04,
EDP, , ,3.916722e-07

OU Size: 12x4
layer,time_s,energy_J
1,6.726138e-04,2.374176e-06
2,1.434910e-02,5.064908e-05
3,7.174548e-03,2.532454e-05
4,1.208348e-02,5.064908e-05
5,2.693661e-03,2.532454e-05
6,2.609004e-03,5.064908e-05
7,2.503965e-03,5.064908e-05
8,6.296517e-04,2.532454e-05
9,6.374033e-04,5.064908e-05
10,6.426950e-04,5.064908e-05
11,1.579970e-04,1.266227e-05
12,1.575632e-04,1.266227e-05
13,1.594198e-04,1.266227e-05
14,7.745479e-08,2.813848e-08
15,8.884092e-07,4.594021e-07
16,8.139207e-07,1.121587e-07
Total,,,
Latency (max),1.434910e-02,
Energy (sum),,4.208288e-04,
EDP, , ,6.038513e-06

OU Size: 12x8
layer,time_s,energy_J
1,3.363069e-04,2.378077e-06
2,7.174548e-03,5.073232e-05
3,3.587274e-03,2.536616e-05
4,6.041738e-03,5.073232e-05
5,1.346831e-03,2.536616e-05
6,1.304502e-03,5.073232e-05
7,1.251982e-03,5.073232e-05
8,3.148259e-04,2.536616e-05
9,3.187016e-04,5.073232e-05
10,3.213475e-04,5.073232e-05
11,7.899848e-05,1.268308e-05
12,7.878158e-05,1.268308e-05
13,7.970988e-05,1.268308e-05
14,3.872740e-08,2.818472e-08
15,4.442046e-07,4.601571e-07
16,4.069603e-07,1.123430e-07
Total,,,
Latency (max),7.174548e-03,
Energy (sum),,4.215204e-04,
EDP, , ,3.024218e-06

OU Size: 12x12
layer,time_s,energy_J
1,2.242046e-04,2.381979e-06
2,4.783032e-03,5.081556e-05
3,2.391516e-03,2.540778e-05
4,4.027825e-03,5.081556e-05
5,8.978871e-04,2.540778e-05
