OU Size: 4x4
layer,time_s,energy_J
14,8.278569e-06,2.812692e-08
15,9.495548e-05,4.592134e-07
16,6.205034e-05,1.121126e-07
Total,,,
Latency (max),3.834171e-02,
Energy (sum),,4.206559e-04,
EDP, , ,1.612867e-05

OU Size: 4x56
layer,time_s,energy_J
1,1.668891e-03,2.519514e-06
2,3.560302e-02,5.374962e-05
3,1.780151e-02,2.687481e-05
4,3.560302e-02,5.374962e-05
5,1.780151e-02,2.687481e-05
6,3.560302e-02,5.374962e-05
7,3.560302e-02,5.374962e-05
8,1.780151e-02,2.687481e-05
9,2.014944e-02,5.374962e-05
10,3.560302e-02,5.374962e-05
11,5.802894e-03,1.343741e-05
12,8.900755e-03,1.343741e-05
13,7.939427e-03,1.343741e-05
14,7.687242e-06,2.986100e-08
15,8.817295e-05,4.875249e-07
16,5.761818e-05,1.190246e-07
Total,,,
Latency (max),3.560302e-02,
Energy (sum),,4.465903e-04,
EDP, , ,1.589996e-05

OU Size: 4x60
layer,time_s,energy_J
1,1.557632e-03,2.665827e-06
2,3.322948e-02,5.687097e-05
3,1.661474e-02,2.843549e-05
4,3.322948e-02,5.687097e-05
5,1.661474e-02,2.843549e-05
6,3.322948e-02,5.687097e-05
7,3.322948e-02,5.687097e-05
8,1.661474e-02,2.843549e-05
9,1.880615e-02,5.687097e-05
10,3.322948e-02,5.687097e-05
11,5.416034e-03,1.421774e-05
12,8.307371e-03,1.421774e-05
13,7.410132e-03,1.421774e-05
14,7.174760e-06,3.159509e-08
15,8.229475e-05,5.158365e-07
16,5.377696e-05,1.259366e-07
Total,,,
Latency (max),3.322948e-02,
Energy (sum),,4.725247e-04,
EDP, , ,1.570175e-05

OU Size: 4x64
layer,time_s,energy_J
1,1.460280e-03,2.812140e-06
2,3.115264e-02,5.999232e-05
3,1.557632e-02,2.999616e-05
4,3.115264e-02,5.999232e-05
5,1.557632e-02,2.999616e-05
6,3.115264e-02,5.999232e-05
7,3.115264e-02,5.999232e-05
8,1.557632e-02,2.999616e-05
9,1.763076e-02,5.999232e-05
10,3.115264e-02,5.999232e-05
11,5.077532e-03,1.499808e-05
12,7.788160e-03,1.499808e-05
13,6.946999e-03,1.499808e-05
14,6.726337e-06,3.332918e-08
15,7.715133e-05,5.441480e-07
16,5.041590e-05,1.328486e-07
Total,,,
Latency (max),3.115264e-02,
Energy (sum),,4.984591e-04,
EDP, , ,1.552832e-05

OU Size: 4x68
layer,time_s,energy_J
1,1.374381e-03,2.958453e-06
2,2.932013e-02,6.311367e-05
3,1.466007e-02,3.155683e-05
4,2.932013e-02,6.311367e-05
5,1.466007e-02,3.155683e-05
6,2.932013e-02,6.311367e-05
7,2.932013e-02,6.311367e-05
8,1.466007e-02,3.155683e-05
9,1.659366e-02,6.311367e-05
10,2.932013e-02,6.311367e-05
11,4.778854e-03,1.577842e-05
12,7.330033e-03,1.577842e-05
13,6.538352e-03,1.577842e-05
14,6.330670e-06,3.506327e-08
15,7.261301e-05,5.724596e-07
16,4.745026e-05,1.397606e-07
Total,,,
Latency (max),2.932013e-02,
Energy (sum),,5.243935e-04,
EDP, , ,1.537529e-05

OU Size: 4x72
layer,time_s,energy_J
1,1.298027e-03,3.104766e-06
2,2.769124e-02,6.623502e-05
3,1.384562e-02,3.311751e-05
4,2.769124e-02,6.623502e-05
5,1.384562e-02,3.311751e-05
6,2.769124e-02,6.623502e-05
7,2.769124e-02,6.623502e-05
8,1.384562e-02,3.311751e-05
9,1.567179e-02,6.623502e-05
10,2.769124e-02,6.623502e-05
11,4.513362e-03,1.655875e-05
12,6.922809e-03,1.655875e-05
13,6.175110e-03,1.655875e-05
14,5.978966e-06,3.679736e-08
15,6.857896e-05,6.007711e-07
16,4.481414e-05,1.466726e-07
Total,,,
Latency (max),2.769124e-02,
Energy (sum),,5.503279e-04,
EDP, , ,1.523926e-05

OU Size: 4x76
layer,time_s,energy_J
1,1.229710e-03,3.251080e-06
2,2.623380e-02,6.935637e-05
3,1.311690e-02,3.467818e-05
4,2.623380e-02,6.935637e-05
5,1.311690e-02,3.467818e-05
6,2.623380e-02,6.935637e-05
7,2.623380e-02,6.935637e-05
8,1.311690e-02,3.467818e-05
9,1.484696e-02,6.935637e-05
10,2.623380e-02,6.935637e-05
11,4.275816e-03,1.733909e-05
12,6.558451e-03,1.733909e-05
13,5.850104e-03,1.733909e-05
14,5.664284e-06,3.853145e-08
15,6.496954e-05,6.290827e-07
16,4.245550e-05,1.535846e-07
Total,,,
Latency (max),2.623380e-02,
Energy (sum),,5.762623e-04,
EDP, , ,1.511755e-05

OU Size: 4x80
layer,time_s,energy_J
1,1.168224e-03,3.397393e-06
2,2.492211e-02,7.247771e-05
3,1.246106e-02,3.623886e-05
4,2.492211e-02,7.247771e-05
5,1.246106e-02,3.623886e-05
