OU Size: 4x4
layer,time_s,energy_J
4,3.507557e-03,1.571512e-04
5,1.753778e-03,7.857562e-05
6,2.146278e-03,1.571512e-04
7,3.507557e-03,1.571512e-04
8,1.231319e-03,7.857562e-05
9,1.246478e-03,1.571512e-04
10,1.256826e-03,1.571512e-04
11,3.089718e-04,3.928781e-05
12,3.081235e-04,3.928781e-05
13,3.117542e-04,3.928781e-05
14,1.514671e-07,8.730654e-08
15,1.737334e-06,1.425408e-06
16,1.591667e-06,3.480000e-07
Total,,,
Latency (max),3.507557e-03,
Energy (sum),,1.305725e-03,
EDP, , ,9.282193e-03

OU Size: 4x76
layer,time_s,energy_J
1,1.557632e-04,7.661123e-06
2,3.322948e-03,1.634373e-04
3,1.661474e-03,8.171864e-05
4,3.322948e-03,1.634373e-04
5,1.661474e-03,8.171864e-05
6,2.033316e-03,1.634373e-04
7,3.322948e-03,1.634373e-04
8,1.166513e-03,8.171864e-05
9,1.180873e-03,1.634373e-04
10,1.190677e-03,1.634373e-04
11,2.927102e-04,4.085932e-05
12,2.919065e-04,4.085932e-05
13,2.953461e-04,4.085932e-05
14,1.434952e-07,9.079880e-08
15,1.645895e-06,1.482424e-06
16,1.507895e-06,3.619200e-07
Total,,,
Latency (max),3.322948e-03,
Energy (sum),,1.357954e-03,
EDP, , ,8.664066e-03

OU Size: 4x80
layer,time_s,energy_J
1,1.479750e-04,7.955781e-06
2,3.156801e-03,1.697233e-04
3,1.578400e-03,8.486167e-05
4,3.156801e-03,1.697233e-04
5,1.578400e-03,8.486167e-05
6,1.931650e-03,1.697233e-04
7,3.156801e-03,1.697233e-04
8,1.108187e-03,8.486167e-05
9,1.121830e-03,1.697233e-04
10,1.131143e-03,1.697233e-04
11,2.780746e-04,4.243083e-05
12,2.773112e-04,4.243083e-05
13,2.805788e-04,4.243083e-05
14,1.363204e-07,9.429106e-08
15,1.563600e-06,1.539441e-06
16,1.432500e-06,3.758400e-07
Total,,,
Latency (max),3.156801e-03,
Energy (sum),,1.410183e-03,
EDP, , ,8.120062e-03

OU Size: 4x84
layer,time_s,energy_J
1,1.409286e-04,8.250440e-06
2,3.006477e-03,1.760094e-04
3,1.503239e-03,8.800469e-05
4,3.006477e-03,1.760094e-04
5,1.503239e-03,8.800469e-05
6,1.839667e-03,1.760094e-04
7,3.006477e-03,1.760094e-04
8,1.055416e-03,8.800469e-05
9,1.068409e-03,1.760094e-04
10,1.077279e-03,1.760094e-04
11,2.648330e-04,4.400234e-05
12,2.641059e-04,4.400234e-05
13,2.672179e-04,4.400234e-05
14,1.298290e-07,9.778332e-08
15,1.489143e-06,1.596457e-06
16,1.364286e-06,3.897600e-07
Total,,,
Latency (max),3.006477e-03,
Energy (sum),,1.462412e-03,
EDP, , ,7.637919e-03

OU Size: 4x88
layer,time_s,energy_J
1,1.345228e-04,8.545098e-06
2,2.869819e-03,1.822954e-04
3,1.434910e-03,9.114771e-05
4,2.869819e-03,1.822954e-04
5,1.434910e-03,9.114771e-05
6,1.756045e-03,1.822954e-04
7,2.869819e-03,1.822954e-04
8,1.007443e-03,9.114771e-05
9,1.019845e-03,1.822954e-04
10,1.028312e-03,1.822954e-04
11,2.527951e-04,4.557386e-05
12,2.521011e-04,4.557386e-05
13,2.550716e-04,4.557386e-05
14,1.239277e-07,1.012756e-07
15,1.421455e-06,1.653473e-06
16,1.302273e-06,4.036800e-07
Total,,,
Latency (max),2.869819e-03,
Energy (sum),,1.514641e-03,
EDP, , ,7.207891e-03

OU Size: 4x92
layer,time_s,energy_J
1,1.286740e-04,8.839757e-06
2,2.745044e-03,1.885815e-04
3,1.372522e-03,9.429074e-05
4,2.745044e-03,1.885815e-04
5,1.372522e-03,9.429074e-05
6,1.679696e-03,1.885815e-04
7,2.745044e-03,1.885815e-04
8,9.636409e-04,9.429074e-05
9,9.755042e-04,1.885815e-04
10,9.836028e-04,1.885815e-04
11,2.418040e-04,4.714537e-05
12,2.411401e-04,4.714537e-05
13,2.439815e-04,4.714537e-05
14,1.185395e-07,1.047678e-07
15,1.359652e-06,1.710490e-06
16,1.245652e-06,4.176000e-07
Total,,,
Latency (max),2.745044e-03,
Energy (sum),,1.566870e-03,
EDP, , ,6.822149e-03

OU Size: 4x96
layer,time_s,energy_J
1,1.233125e-04,9.134415e-06
2,2.630667e-03,1.948675e-04
3,1.315334e-03,9.743376e-05
4,2.630667e-03,1.948675e-04
5,1.315334e-03,9.743376e-05
6,1.609708e-03,1.948675e-04
7,2.630667e-03,1.948675e-04
8,9.234892e-04,9.743376e-05
9,9.348581e-04,1.948675e-04
10,9.426193e-04,1.948675e-04
11,2.317289e-04,4.871688e-05
12,2.310926e-04,4.871688e-05
13,2.338156e-04,4.871688e-05
14,1.136004e-07,1.082601e-07
