OU Size: 4x4
layer,time_s,energy_J
4,1.030792e-02,7.159449e-05
5,5.153961e-03,3.579724e-05
6,1.030792e-02,7.159449e-05
7,1.030792e-02,7.159449e-05
8,5.153961e-03,3.579724e-05
9,8.137296e-03,7.159449e-05
10,6.569263e-03,7.159449e-05
11,2.576980e-03,1.789862e-05
12,2.441432e-03,1.789862e-05
13,1.382478e-03,1.789862e-05
14,1.780512e-06,3.977485e-08
15,2.042253e-05,6.493831e-07
16,1.549941e-05,1.585408e-07
Total,,,
Latency (max),1.030792e-02,
Energy (sum),,5.948582e-04,
EDP, , ,6.131752e-06

OU Size: 4x88
layer,time_s,energy_J
1,4.612209e-04,3.507995e-06
2,9.839380e-03,7.483722e-05
3,4.919690e-03,3.741861e-05
4,9.839380e-03,7.483722e-05
5,4.919690e-03,3.741861e-05
6,9.839380e-03,7.483722e-05
7,9.839380e-03,7.483722e-05
8,4.919690e-03,3.741861e-05
9,7.767419e-03,7.483722e-05
10,6.270661e-03,7.483722e-05
11,2.459845e-03,1.870931e-05
12,2.330458e-03,1.870931e-05
13,1.319638e-03,1.870931e-05
14,1.699579e-06,4.157638e-08
15,1.949424e-05,6.787957e-07
16,1.479490e-05,1.657216e-07
Total,,,
Latency (max),9.839380e-03,
Energy (sum),,6.218012e-04,
EDP, , ,6.118138e-06

OU Size: 4x92
layer,time_s,energy_J
1,4.411678e-04,3.659998e-06
2,9.411581e-03,7.807996e-05
3,4.705790e-03,3.903998e-05
4,9.411581e-03,7.807996e-05
5,4.705790e-03,3.903998e-05
6,9.411581e-03,7.807996e-05
7,9.411581e-03,7.807996e-05
8,4.705790e-03,3.903998e-05
9,7.429705e-03,7.807996e-05
10,5.998023e-03,7.807996e-05
11,2.352895e-03,1.951999e-05
12,2.229133e-03,1.951999e-05
13,1.262262e-03,1.951999e-05
14,1.625685e-06,4.337790e-08
15,1.864666e-05,7.082082e-07
16,1.415164e-05,1.729024e-07
Total,,,
Latency (max),9.411581e-03,
Energy (sum),,6.487441e-04,
EDP, , ,6.105708e-06

OU Size: 4x96
layer,time_s,energy_J
1,4.227858e-04,3.812001e-06
2,9.019431e-03,8.132269e-05
3,4.509716e-03,4.066135e-05
4,9.019431e-03,8.132269e-05
5,4.509716e-03,4.066135e-05
6,9.019431e-03,8.132269e-05
7,9.019431e-03,8.132269e-05
8,4.509716e-03,4.066135e-05
9,7.120134e-03,8.132269e-05
10,5.748106e-03,8.132269e-05
11,2.254858e-03,2.033067e-05
12,2.136253e-03,2.033067e-05
13,1.209668e-03,2.033067e-05
14,1.557948e-06,4.517943e-08
15,1.786972e-05,7.376208e-07
16,1.356199e-05,1.800832e-07
Total,,,
Latency (max),9.019431e-03,
Energy (sum),,6.756871e-04,
EDP, , ,6.094313e-06

OU Size: 4x100
layer,time_s,energy_J
1,4.058744e-04,3.964004e-06
2,8.658654e-03,8.456543e-05
3,4.329327e-03,4.228271e-05
4,8.658654e-03,8.456543e-05
5,4.329327e-03,4.228271e-05
6,8.658654e-03,8.456543e-05
7,8.658654e-03,8.456543e-05
8,4.329327e-03,4.228271e-05
9,6.835329e-03,8.456543e-05
10,5.518181e-03,8.456543e-05
11,2.164664e-03,2.114136e-05
12,2.050803e-03,2.114136e-05
13,1.161281e-03,2.114136e-05
14,1.495630e-06,4.698095e-08
15,1.715493e-05,7.670333e-07
16,1.301951e-05,1.872640e-07
Total,,,
Latency (max),8.658654e-03,
Energy (sum),,7.026300e-04,
EDP, , ,6.083831e-06

OU Size: 4x104
layer,time_s,energy_J
1,3.902639e-04,4.116008e-06
2,8.325629e-03,8.780816e-05
3,4.162814e-03,4.390408e-05
4,8.325629e-03,8.780816e-05
5,4.162814e-03,4.390408e-05
6,8.325629e-03,8.780816e-05
7,8.325629e-03,8.780816e-05
8,4.162814e-03,4.390408e-05
9,6.572431e-03,8.780816e-05
10,5.305944e-03,8.780816e-05
11,2.081407e-03,2.195204e-05
12,1.971926e-03,2.195204e-05
13,1.116617e-03,2.195204e-05
14,1.438106e-06,4.878248e-08
15,1.649512e-05,7.964459e-07
16,1.251876e-05,1.944448e-07
Total,,,
Latency (max),8.325629e-03,
Energy (sum),,7.295730e-04,
EDP, , ,6.074154e-06

OU Size: 4x108
layer,time_s,energy_J
1,3.758096e-04,4.268011e-06
2,8.017272e-03,9.105089e-05
3,4.008636e-03,4.552545e-05
4,8.017272e-03,9.105089e-05
5,4.008636e-03,4.552545e-05
6,8.017272e-03,9.105089e-05
7,8.017272e-03,9.105089e-05
8,4.008636e-03,4.552545e-05
9,6.329008e-03,9.105089e-05
10,5.109427e-03,9.105089e-05
11,2.004318e-03,2.276272e-05
12,1.898891e-03,2.276272e-05
13,1.075260e-03,2.276272e-05
14,1.384842e-06,5.058400e-08
15,1.588419e-05,8.258585e-07
16,1.205510e-05,2.016256e-07
Total,,,
Latency (max),8.017272e-03,
Energy (sum),,7.565160e-04,
EDP, , ,6.065194e-06

OU Size: 4x112
layer,time_s,energy_J
1,3.623879e-04,4.420014e-06
2,7.730941e-03,9.429363e-05
3,3.865471e-03,4.714681e-05
4,7.730941e-03,9.429363e-05
5,3.865471e-03,4.714681e-05
6,7.730941e-03,9.429363e-05
7,7.730941e-03,9.429363e-05
8,3.865471e-03,4.714681e-05
9,6.102972e-03,9.429363e-05
10,4.926948e-03,9.429363e-05
11,1.932735e-03,2.357341e-05
12,1.831074e-03,2.357341e-05
13,1.036858e-03,2.357341e-05
14,1.335384e-06,5.238553e-08
15,1.531690e-05,8.552710e-07
16,1.162456e-05,2.088064e-07
Total,,,
Latency (max),7.730941e-03,
Energy (sum),,7.834589e-04,
EDP, , ,6.056875e-06

OU Size: 4x116
layer,time_s,energy_J
1,3.498917e-04,4.572017e-06
2,7.464357e-03,9.753636e-05
3,3.732178e-03,4.876818e-05
4,7.464357e-03,9.753636e-05
5,3.732178e-03,4.876818e-05
6,7.464357e-03,9.753636e-05
7,7.464357e-03,9.753636e-05
8,3.732178e-03,4.876818e-05
9,5.892525e-03,9.753636e-05
10,4.757053e-03,9.753636e-05
11,1.866089e-03,2.438409e-05
12,1.767933e-03,2.438409e-05
13,1.001105e-03,2.438409e-05
14,1.289336e-06,5.418705e-08
15,1.478873e-05,8.846836e-07
16,1.122371e-05,2.159872e-07
Total,,,
Latency (max),7.464357e-03,
Energy (sum),,8.104019e-04,
EDP, , ,6.049129e-06

