Rows,Cols,Latency,Energy,EDP
24,48,8.768892e-04,2.820366e-03,1.253096e-03
24,52,8.094361e-04,2.872595e-03,1.087500e-03
24,56,7.516193e-04,2.924824e-03,9.547398e-04
24,60,7.015113e-04,2.977053e-03,8.465360e-04
24,64,6.576669e-04,3.029282e-03,7.570789e-04
24,68,6.189806e-04,3.081511e-03,6.821930e-04
24,72,5.845928e-04,3.133740e-03,6.188129e-04
24,76,5.538247e-04,3.185969e-03,5.646453e-04
24,80,5.261335e-04,3.238198e-03,5.179464e-04
24,84,5.010795e-04,3.290427e-03,4.773699e-04
24,88,4.783032e-04,3.342656e-03,4.418631e-04
24,92,4.575074e-04,3.394885e-03,4.105923e-04
24,96,4.384446e-04,3.447114e-03,3.828905e-04
24,100,4.209068e-04,3.499343e-03,3.582184e-04
24,104,4.047181e-04,3.551572e-03,3.361362e-04
24,108,3.897285e-04,3.603801e-03,3.162821e-04
24,112,3.758096e-04,3.656030e-03,2.983562e-04
24,116,3.628507e-04,3.708259e-03,2.821080e-04
24,120,3.507557e-04,3.760488e-03,2.673272e-04
24,124,3.394410e-04,3.812717e-03,2.538356e-04
24,128,3.288334e-04,3.864946e-03,2.414820e-04
28,4,9.019431e-03,2.611450e-03,1.227523e-01
28,8,4.509716e-03,2.663679e-03,3.130183e-02
28,12,3.006477e-03,2.715908e-03,1.418471e-02
28,16,2.254858e-03,2.768137e-03,8.132338e-03
28,20,1.803886e-03,2.820366e-03,5.302898e-03
28,24,1.503239e-03,2.872595e-03,3.750764e-03
28,28,1.288490e-03,2.924824e-03,2.805766e-03
28,32,1.127429e-03,2.977053e-03,2.186525e-03
28,36,1.002159e-03,3.029282e-03,1.757934e-03
28,40,9.019431e-04,3.081511e-03,1.448477e-03
28,44,8.199483e-04,3.133740e-03,1.217378e-03
28,48,7.516193e-04,3.185969e-03,1.039984e-03
28,52,6.938024e-04,3.238198e-03,9.006675e-04
28,56,6.442451e-04,3.290427e-03,7.891217e-04
28,60,6.012954e-04,3.342656e-03,6.983240e-04
28,64,5.637145e-04,3.394885e-03,6.233513e-04
28,68,5.305548e-04,3.447114e-03,5.606678e-04
28,72,5.010795e-04,3.499343e-03,5.076791e-04
28,76,4.747069e-04,3.551572e-03,4.624462e-04
28,80,4.509716e-04,3.603801e-03,4.234953e-04
28,84,4.294967e-04,3.656030e-03,3.896897e-04
