Layer: 1, Crossbars required: 1
OU Row: 48, OU Col: 24, OU required: 15, Latency: 386032.6080498463, Energy: 18529565.186392624, Power Density: 0.00 W, TOPS: 5.33e-02, EPM: 1.29e-14
OU Row: 48, OU Col: 28, OU required: 13, Latency: 390321.85925040016, Energy: 18735449.244019207, Power Density: 0.00 W, TOPS: 6.22e-02, EPM: 1.30e-14
OU Row: 48, OU Col: 32, OU required: 11, Latency: 377454.1056487387, Energy: 18117797.071139455, Power Density: 0.00 W, TOPS: 7.11e-02, EPM: 1.30e-14
OU Row: 52, OU Col: 4, OU required: 79, Latency: 374678.50179397763, Energy: 19483282.09328684, Power Density: 0.00 W, TOPS: 9.62e-03, EPM: 1.39e-14
OU Row: 52, OU Col: 8, OU required: 40, Latency: 379421.26763947104, Energy: 19729905.917252496, Power Density: 0.00 W, TOPS: 1.92e-02, EPM: 1.39e-14
OU Row: 52, OU Col: 12, OU required: 27, Latency: 384164.03348496446, Energy: 19976529.741218153, Power Density: 0.00 W, TOPS: 2.89e-02, EPM: 1.39e-14
OU Row: 52, OU Col: 16, OU required: 20, Latency: 379421.26763947104, Energy: 19729905.917252496, Power Density: 0.00 W, TOPS: 3.85e-02, EPM: 1.40e-14
OU Row: 52, OU Col: 20, OU required: 16, Latency: 379421.26763947104, Energy: 19729905.917252496, Power Density: 0.00 W, TOPS: 4.81e-02, EPM: 1.40e-14
OU Row: 52, OU Col: 24, OU required: 14, Latency: 398392.3310214446, Energy: 20716401.21311512, Power Density: 0.00 W, TOPS: 5.77e-02, EPM: 1.40e-14
OU Row: 52, OU Col: 28, OU required: 12, Latency: 398392.33102144464, Energy: 20716401.213115122, Power Density: 0.00 W, TOPS: 6.74e-02, EPM: 1.40e-14
OU Row: 52, OU Col: 32, OU required: 10, Latency: 379421.26763947104, Energy: 19729905.917252496, Power Density: 0.00 W, TOPS: 7.70e-02, EPM: 1.40e-14
