ou_row,ou_col,Latency,Energy_per_Mac,TOPS,Power Density
4,124,5456.0,1.29140625e-13,0.908203125,0.11728591918945312
4,128,5632.0,1.325390625e-13,0.9375,0.12425537109375
8,4,4044.0,5.09765625e-14,0.05859375,0.002986907958984375
8,8,4056.0,5.4375e-14,0.1171875,0.0063720703125
8,12,4068.0,5.77734375e-14,0.17578125,0.010155487060546876
8,16,4080.0,6.1171875e-14,0.234375,0.014337158203124999
8,20,4080.0,6.45703125e-14,0.29296875,0.018917083740234375
8,24,4104.0,6.796875e-14,0.3515625,0.023895263671875
8,28,4116.0,7.13671875e-14,0.41015625,0.02927169799804687
8,32,4128.0,7.4765625e-14,0.46875,0.03504638671875
8,36,4104.0,7.81640625e-14,0.52734375,0.041219329833984374
8,40,4080.0,8.15625e-14,0.5859375,0.04779052734375
8,44,4092.0,8.496093750000001e-14,0.64453125,0.05475997924804688
8,48,4176.0,8.835937500000001e-14,0.703125,0.06212768554687501
8,52,4056.0,9.17578125e-14,0.76171875,0.06989364624023438
8,56,4200.0,9.515625e-14,0.8203125,0.078057861328125
8,60,4140.0,9.85546875e-14,0.87890625,0.08662033081054688
8,64,4224.0,1.01953125e-13,0.9375,0.0955810546875
8,68,4080.0,1.053515625e-13,0.99609375,0.10494003295898438
8,72,4104.0,1.0875e-13,1.0546875,0.11469726562499999
8,76,4104.0,1.121484375e-13,1.11328125,0.12485275268554688
8,80,4080.0,1.15546875e-13,1.171875,0.135406494140625
8,84,4284.0,1.189453125e-13,1.23046875,0.14635848999023438
8,88,4224.0,1.2234375e-13,1.2890625,0.157708740234375
8,92,4140.0,1.257421875e-13,1.34765625,0.1694572448730469
8,96,4320.0,1.29140625e-13,1.40625,0.18160400390625
8,100,4200.0,1.325390625e-13,1.46484375,0.19414901733398438
8,104,4056.0,1.359375e-13,1.5234375,0.20709228515624997
8,108,4212.0,1.3933593750000002e-13,1.58203125,0.2204338073730469
8,112,4368.0,1.42734375e-13,1.640625,0.23417358398437496
8,116,4176.0,1.461328125e-13,1.69921875,0.2483116149902344
8,120,4320.0,1.4953125e-13,1.7578125,0.262847900390625
