Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
108,features.denseblock4.denselayer10.conv2,288.0,1806336,0.08455403645833333,0.9661989795918368,49.0
109,features.denseblock4.denselayer11.conv1,832.0,5218304,0.2997577373798077,0.6881132260596546,318.5
110,features.denseblock4.denselayer11.conv2,288.0,1806336,0.0888671875,0.9626913265306123,49.0
111,features.denseblock4.denselayer12.conv1,864.0,5419008,0.3230523003472222,0.6871220710506425,330.75
112,features.denseblock4.denselayer12.conv2,288.0,1806336,0.08732096354166667,0.9548788265306123,49.0
113,features.denseblock4.denselayer13.conv1,896.0,5619712,0.33194405691964285,0.681281887755102,343.0
114,features.denseblock4.denselayer13.conv2,288.0,1806336,0.08515082465277778,0.9733737244897959,49.0
115,features.denseblock4.denselayer14.conv1,928.0,5820416,0.34875909213362066,0.694823187895848,355.25
116,features.denseblock4.denselayer14.conv2,288.0,1806336,0.08894856770833333,0.9630102040816326,49.0
117,features.denseblock4.denselayer15.conv1,960.0,6021120,0.3792236328125,0.7161989795918368,367.5
118,features.denseblock4.denselayer15.conv2,288.0,1806336,0.08824327256944445,0.9614158163265306,49.0
119,features.denseblock4.denselayer16.conv1,992.0,6221824,0.36152501260080644,0.6895778472679395,379.75
120,features.denseblock4.denselayer16.conv2,288.0,1806336,0.07706705729166667,0.9132653061224489,49.0
121,classifier,8000.0,1024000,0.4260654296875,0.0,7.8125
